epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7335,1.37427,2.3288,1.70511,0.75975,0.58117,0.60993,0.28496,1.53303,2.03604,2.18428,0.000548543,0.000548543,0.000548543
2,32.7541,1.37756,1.75411,1.64146,0.35599,0.39054,0.2676,0.09668,2.06691,3.61095,2.64383,0.00108235,0.00108235,0.00108235
3,48.0516,1.42007,1.69747,1.68556,0.77755,0.24651,0.36451,0.16417,1.71773,2.43482,2.28974,0.00159414,0.00159414,0.00159414
4,63.3583,1.38262,1.48686,1.64339,0.75836,0.68588,0.75248,0.36731,1.68614,1.71044,2.19153,0.00156798,0.00156798,0.00156798
5,78.9104,1.40268,1.42563,1.66365,0.72072,0.676,0.73793,0.38511,1.62725,1.48843,2.07831,0.00153497,0.00153497,0.00153497
6,93.663,1.34415,1.33536,1.62483,0.66993,0.65492,0.68587,0.32546,1.62285,1.6533,2.13106,0.00150197,0.00150197,0.00150197
7,108.109,1.36929,1.29539,1.61292,0.7598,0.73905,0.79636,0.47468,1.42222,1.19094,1.89995,0.00146896,0.00146896,0.00146896
8,122.783,1.30211,1.21282,1.58616,0.73529,0.74722,0.78432,0.46645,1.35405,1.17782,1.82288,0.00143595,0.00143595,0.00143595
9,137.118,1.28496,1.19072,1.56658,0.84425,0.7291,0.82,0.46867,1.40565,1.07226,1.87062,0.00140295,0.00140295,0.00140295
10,151.659,1.30878,1.16055,1.57496,0.64236,0.64455,0.67363,0.36747,1.48064,1.57556,1.92378,0.00136994,0.00136994,0.00136994
11,166.05,1.27044,1.15838,1.54836,0.77951,0.75305,0.81143,0.46849,1.34879,1.21481,1.80328,0.00133693,0.00133693,0.00133693
12,180.638,1.25351,1.12666,1.5411,0.80251,0.74907,0.81735,0.49257,1.31396,1.08357,1.78633,0.00130393,0.00130393,0.00130393
13,195.23,1.24457,1.13144,1.52895,0.76187,0.73736,0.79534,0.46758,1.41748,1.11151,1.87255,0.00127092,0.00127092,0.00127092
14,209.531,1.23075,1.06959,1.53355,0.80208,0.76935,0.84461,0.53171,1.27346,0.98102,1.73632,0.00123791,0.00123791,0.00123791
15,223.74,1.22541,1.05858,1.51857,0.7901,0.74479,0.8328,0.51754,1.27614,1.03861,1.69171,0.00120491,0.00120491,0.00120491
16,238.222,1.23774,1.05114,1.52269,0.83212,0.7881,0.85755,0.53145,1.28111,1.01845,1.7432,0.0011719,0.0011719,0.0011719
17,253.061,1.19165,1.0244,1.50908,0.84647,0.79254,0.85388,0.54418,1.25206,0.94178,1.69444,0.00113889,0.00113889,0.00113889
18,267.688,1.18944,1.01849,1.49526,0.83579,0.8137,0.861,0.5292,1.31801,0.96331,1.7679,0.00110589,0.00110589,0.00110589
