                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50954,                 1.9813,                 1.1822,                0.00333,                      1,                0.79083,                 0.6867,                0.79884,                 3.1322,                 1.2313,                0.00044,                0.00044,                0.00044
                      2,                0.27178,                0.81823,                 1.0102,                0.00119,                0.35556,                0.05047,                0.01392,                 3.8507,                 4.4989,                 3.6861,             0.00086436,             0.00086436,             0.00086436
                      3,                0.30699,                0.73931,                 1.0144,                0.00019,                0.05556,                0.00102,                0.00014,                 4.7091,                 4.7071,                 5.4565,              0.0012523,              0.0012523,              0.0012523
                      4,                0.31171,                0.68653,                 1.0334,                 0.0613,                0.12222,                 0.0159,                0.00385,                 3.9815,                  4.201,                  4.983,              0.0016038,              0.0016038,              0.0016038
                      5,                0.29629,                0.60792,                 1.0173,                 0.1137,                0.17778,                0.09436,                0.02659,                 3.3529,                 2.9889,                 4.3047,              0.0016832,              0.0016832,              0.0016832
                      6,                0.27077,                0.54929,                 1.0109,                0.39033,                0.47662,                0.26628,                0.10023,                 2.8705,                 2.1672,                  5.227,               0.001604,               0.001604,               0.001604
                      7,                0.25137,                0.50612,                0.98955,                0.58082,                0.43333,                0.47545,                0.27414,                 2.0389,                 1.5722,                 2.7285,              0.0015248,              0.0015248,              0.0015248
                      8,                0.21204,                0.44581,                0.96291,                0.50474,                0.82222,                0.50172,                0.26732,                 1.2678,                 1.5576,                 1.5303,              0.0014456,              0.0014456,              0.0014456
                      9,                0.24212,                0.45792,                0.98257,                0.79796,                0.96546,                0.94075,                0.76162,                0.57934,                0.87119,                0.98419,              0.0013664,              0.0013664,              0.0013664
                     10,                0.21376,                0.41728,                0.97781,                0.99361,                      1,                  0.995,                  0.995,                0.34646,                0.49137,                0.82284,              0.0012872,              0.0012872,              0.0012872
                     11,                0.19049,                0.37073,                0.94297,                0.97868,                      1,                0.99324,                0.98317,                0.24293,                0.43729,                0.62876,               0.001208,               0.001208,               0.001208
                     12,                0.19704,                 0.3731,                0.95278,                0.93406,                0.94434,                0.97996,                 0.8879,                0.36276,                0.66734,                0.73456,              0.0011288,              0.0011288,              0.0011288
                     13,                 0.1756,                0.37333,                0.94883,                0.99645,                      1,                  0.995,                0.96389,                0.27158,                0.48146,                0.68074,              0.0010496,              0.0010496,              0.0010496
                     14,                0.17227,                0.33609,                0.93496,                 0.9871,                      1,                  0.995,                0.98537,                0.21992,                0.42009,                  0.612,              0.0009704,              0.0009704,              0.0009704
                     15,                0.16448,                0.31231,                0.93264,                0.91193,                0.92046,                0.96841,                0.86786,                0.48842,                0.66461,                0.98551,              0.0008912,              0.0008912,              0.0008912
                     16,                0.38148,                 1.7943,                  1.203,                0.99796,                      1,                  0.995,                  0.995,                0.26142,                0.46158,                0.64785,               0.000812,               0.000812,               0.000812
                     17,                0.14383,                0.34029,                0.93665,                      1,                 0.9971,                  0.995,                0.99098,                0.21999,                 0.4085,                0.58311,              0.0007328,              0.0007328,              0.0007328
                     18,                0.10837,                0.27225,                0.92507,                0.99936,                      1,                  0.995,                0.99131,                0.17148,                0.40392,                0.54631,              0.0006536,              0.0006536,              0.0006536
                     19,                0.09729,                0.22239,                0.91001,                0.99926,                      1,                  0.995,                  0.995,                0.14618,                0.34104,                0.50938,              0.0005744,              0.0005744,              0.0005744
                     20,                0.08379,                0.19825,                0.90462,                0.99959,                      1,                  0.995,                  0.995,                0.13893,                0.27871,                0.51448,              0.0004952,              0.0004952,              0.0004952
                     21,                0.07899,                0.18166,                0.88831,                0.99943,                      1,                  0.995,                  0.995,                0.11999,                0.23916,                0.47299,               0.000416,               0.000416,               0.000416
                     22,                0.07211,                0.16594,                0.89494,                0.99943,                      1,                  0.995,                0.99299,                0.14298,                0.25697,                0.52022,              0.0003368,              0.0003368,              0.0003368
                     23,                0.07016,                0.16302,                0.88686,                0.99942,                      1,                  0.995,                  0.995,                0.12701,                0.26168,                0.50355,              0.0002576,              0.0002576,              0.0002576
                     24,                 0.0577,                0.14377,                0.89593,                0.99942,                      1,                  0.995,                0.99321,                0.11732,                0.23516,                0.48877,              0.0001784,              0.0001784,              0.0001784
                     25,                0.05257,                0.13786,                0.89512,                0.99943,                      1,                  0.995,                0.99326,                0.11892,                0.22785,                0.48919,               9.92e-05,               9.92e-05,               9.92e-05
